"Species","ForStrat_terrestrial","ForStrat_aquatic","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","weaning_d","litters_or_clutches_per_y","longevity_y","adult_svl_cm","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","diet_breadth","development_d","mass_specific_production","log_litterclutch_size_n","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","log_female_body_mass_g","log_male_body_mass_g","tnc_ecoregion_breadth","log_range_size","X2.1_AgeatEyeOpening_d","X9.1_GestationLen_d","X10.2_SocialGrpSize","X24.1_TeatNumber","X6.2_TrophicLevel","X13.3_WeaningHeadBodyLen_mm","X26.2_GR_MaxLat_dd","X26.3_GR_MinLat_dd","X26.4_GR_MidRangeLat_dd","X26.5_GR_MaxLong_dd","X26.6_GR_MinLong_dd","X26.7_GR_MidRangeLong_dd","X27.4_HuPopDen_Change","X28.1_Precip_Mean_mm","X28.2_Temp_Mean_01degC","X30.1_AET_Mean_mm","X30.2_PET_Mean_mm","log_DispersalAge_d","log_HomeRange_km2","log_HomeRange_Indiv_km2","log_PopulationDensity_n.km2","log_PopulationGrpSize","log_HuPopDen_Min_n.km2","log_HuPopDen_Mean_n.km2","log_HuPopDen_5p_n.km2","log_NeonateHeadBodyLen_mm","log_WOS_hits","Afrosoricida","Artiodactyla","Carnivora","Cetacea","Chiroptera","Cingulata","Dasyuromorphia","Didelphimorphia","Diprotodontia","Erinaceomorpha","Lagomorpha","Macroscelidea","Monotremata","Perissodactyla","Pholidota","Primates","Proboscidea","Rodentia","Sirenia","Soricomorpha","Tubulidentata","traits_wild"
"Tachyglossus aculeatus",1,0,1,1,0,552.425,548,185.04,0.58,49.5,37.5,NA,NA,2.327,303.85,0.1,19.86,6.85313140873955e-05,0,1.01091621550937,-0.982163476024863,6.23522412031347,8.06132912572422,7.40832469956727,8.14033836644883,16,15.8653533319666,NA,17.72,1,NA,3,NA,-0.89,-43.64,-22.26,153.63,113.14,133.39,0.04,44.83,209.86,476.82,1350.04,NA,-0.82098055206983,-0.478035800943,2.18270032213484,NA,1.43157195287196,1.26129787094521,-0.166439821051361,2.57239610497169,6.00141487796115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus attenboroughi",1,0,1,0,0,537.683601241184,655.289140175977,144.499628049998,1.16792401859838,6.12729507478172,46.6966434445272,NA,NA,NA,NA,0.1,48.7769363906495,0.296116634212948,0.242704342397918,-0.187245189425236,4.32893091911837,6.7311497334065,8.00636756765025,7.29689741947193,7.3826459096565,1,2.73175503137917,NA,108.78107646055,NA,NA,NA,NA,-2.45,-2.59,-2.52,140.72,140.35,140.53,0.14,195,302.5,1702.5,1834.5,NA,-1.8146079830917,-2.74119945414263,4.44707100769596,NA,2.07944154167984,2.07944154167984,2.07944154167984,3.97833726469782,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus bartoni",1,0,1,0,0,931.955264501875,571.227395183416,152,1,31,67.5,NA,NA,NA,NA,0.1,10,-0.0278559454658465,0,0,2.4879864631261,5.99146454710798,9.0995998544715,9.20758687181767,8.88962507425109,5,12.0684745117768,NA,20.7817671364396,NA,NA,NA,NA,-3.54,-9.9,-6.72,149.38,136.48,142.93,0.14,277.69,180.29,1679.27,1694.36,NA,-0.508052412119933,-2.68935721243765,2.76757671107821,NA,0,2.48989419129904,0.693147180559945,4.0418534164026,1.38629436111989,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Zaglossus bruijni",1,0,1,0,0,1496.2156661008,414.475655431816,152,1.64385067209449,31,67.5,NA,NA,6.493,303.95,0.1,10,0.160646960221659,0,0.229855571372995,2.33452710523897,5.99146454710798,9.21034037197618,8.92586071376084,9.00124554594762,11.7372363558174,10.397196280539,NA,10,1,NA,3,NA,-0.007690132,-4.14,-2.07,136.38,130.2,133.29,0.12,211.51,220.2,1735.9,1953,NA,1.20202589917742,-2.65964001518621,0.470003629245736,0,0.693147180559945,2.31451366385932,0.693147180559945,4.14139952462935,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Ornithorhynchus anatinus",1,0,1,1,1,645.23,548,113.485,1.1,17,41.918,NA,NA,1.931,307.15,0.2,14.74,-0.00737269089692227,0.693147180559945,-0.000684694349687224,0.919058868695176,5.70775790383532,7.11069612297883,7.34034401209862,7.44303585063099,11,13.7119683936403,NA,12.48,1,NA,3,NA,-16.29,-43.64,-29.96,153.63,136.53,145.08,0.04,76.73,156.53,781.2,1206.89,NA,-2.65926003693278,-2.65926003693278,3.08346964020852,NA,-0.214975563185735,3.21326008608257,0,3.94083257275831,5.98141421125448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Caluromys philander",1,0,1,1,0,309.26,306.899501697271,109.825,2,7.61666667,23.2135,NA,NA,NA,NA,0.5,23.995,0.00582091303837578,1.46787434811231,-0.787089378478304,-1.6094379124341,4.02651173191284,5.69788176633523,5.50546650722746,5.51745289646471,32,15.1269651727577,75,23.99,1,7,2,NA,12.2,-24.58,-6.19,-40.35,-72.87,-56.61,0.12,144.03,239.14,1356.51,1583.7,NA,-4.60914176226663,-3.91202300542815,4.13228240156249,NA,1.5957559734406,3.68084728241667,-0.190318358918425,2.30258509299405,4.24849524204936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromys derbianus",1,0,1,1,0,240,240,120,2,6.33333333,26.55,NA,NA,1.194,308.15,0.5,21,0.188589585115275,1.12167756159911,-0.806272394051518,2.05923691446772,4.43705070765549,5.79909265446053,4.96959174392823,5.71447626932367,25,13.5825884213368,NA,22.8519043062554,1,NA,2,NA,20.73,-2.92,8.9,-76.63,-98.33,-87.48,0.14,189.71,234.61,1341.7,1596.59,NA,-2.44469923755836,-2.78938007843446,2.47317139356958,NA,0.693147180559945,3.97874663747105,1.09861228866811,4.02102320807551,2.56494935746154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromys lanatus",1,0,1,1,0,339.591112203996,649.133475174861,76.2604192840438,3,5,28.415,NA,NA,NA,NA,0.5,75.0455890797274,0.0640243902439024,0.916290731874155,-1.27536910276997,1.25276296849537,4.37536637764718,6.01615715969835,5.98847079234798,5.87408767895441,35,15.4467106593281,NA,108.788520340466,1,NA,2,NA,9.07,-28.1,-9.51,-53.2,-77.39,-65.29,0.13,175.31,245.59,1392.87,1501.45,NA,-3.28127540128936,-2.75758348180171,3.61964586241489,NA,1.33613195743971,1.67896397508271,-0.143741799498152,3.7059781831951,2.39789527279837,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Caluromysiops irrupta",1,0,1,0,0,409.965078017614,536.087678103842,117.5,1.61596805568762,7.8,29,NA,NA,NA,NA,0.4,13,0.166942460190441,0.693147180559945,-0.182157139221223,0.409638315599753,4.36156490638881,5.55094204718442,4.95536961724151,5.73700041583516,3,12.113492924234,NA,20.8638382812956,1,NA,2,NA,-9.34,-12.69,-11.01,-61.99,-73.48,-67.73,0.27,189.96,246.03,1362.63,1563.51,NA,-2.45469725358577,-2.74265816850944,2.18041745901984,NA,1.9346566369918,1.25561603747777,-0.00171526023285431,4.03828616998077,0.693147180559945,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Glironia venusta",1,0,1,0,0,176.785571325839,506.159647165619,68.535019371813,2.49284365140218,1.5,19.0565,NA,NA,NA,NA,0.4,77.6742855917501,0.345612768811944,1.38629436111989,-0.279377607313035,1.67488315909176,3.97756022428498,4.9416424226093,4.18459695575296,4.64439089914137,20,14.8746486948024,NA,108.821653104243,NA,NA,2,NA,0.04,-17.67,-8.81,-55.81,-78.78,-67.29,0.15,176.89,245.88,1378.68,1492.08,NA,-3.34189157598062,-2.78264401748963,4.05981514393987,NA,1.73878837355742,1.53255686809814,-0.0627245155662319,4.04239627460717,2.19722457733622,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
