Species,nchar,haddock_score_mean,haddock_score_sd,AA_83_Y,AA_30_negative,ForStrat_terrestrial,ForStrat_aquatic,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,female_maturity_d,male_maturity_d,weaning_d,litters_or_clutches_per_y,longevity_y,adult_svl_cm,infantMortalityRate_per_year,mortalityRateDoublingTime_y,metabolicRate_W,temperature_K,diet_breadth,development_d,mass_specific_production,log_litterclutch_size_n,log_inter_litterbirth_interval_y,log_birthhatching_weight_g,log_weaning_weight_g,log_adult_body_mass_g,log_female_body_mass_g,log_male_body_mass_g,tnc_ecoregion_breadth,log_range_size,X2.1_AgeatEyeOpening_d,X9.1_GestationLen_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X6.2_TrophicLevel,X13.3_WeaningHeadBodyLen_mm,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,log_DispersalAge_d,log_HomeRange_km2,log_HomeRange_Indiv_km2,log_PopulationDensity_n.km2,log_PopulationGrpSize,log_HuPopDen_Min_n.km2,log_HuPopDen_Mean_n.km2,log_HuPopDen_5p_n.km2,log_NeonateHeadBodyLen_mm,log_WOS_hits,Afrosoricida,Artiodactyla,Carnivora,Cetacea,Chiroptera,Cingulata,Dasyuromorphia,Didelphimorphia,Diprotodontia,Erinaceomorpha,Lagomorpha,Macroscelidea,Monotremata,Perissodactyla,Pholidota,Primates,Proboscidea,Rodentia,Sirenia,Soricomorpha,Tubulidentata,traits_wild
Neovison vison,805,-144.81476,1.580668,1,1,1,0,1,1,0,297.72262,371,49,1,10.69583333,43,NA,NA,2.722,312.15,0.4,36.22062,0.045708696860239,1.56024766824333,-0.000684694349687,2.15640258281596,4.70048036579242,6.80211694695914,7.01398524908304,7.44424864949671,27,16.494734848921,NA,36.7059868087532,NA,NA,NA,NA,71.39,24.94,48.16,-55.61,-168.12,-111.87,0.03,55.37,14.91,458.26,529.25,NA,-2.8668540786771,-2.75432928903185,4.08563472032636,NA,1.05668243588002,3.00617753141553,0.025740921517294,3.80320347281325,7.55747290161475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Acinonyx jubatus,805,-127.07811,1.7479599082931,1,1,1,0,0,0,1,598.985,456,107,0.7,19,149.0215,NA,NA,61.77,312.15,0.1,89.06,0.019578152680062,1.11185751541813,0.395145099532606,6.14274683130477,7.57044325205737,10.8312703964049,9.84616720256968,10.9888022203638,0.30952380952381,15.4485083027574,9.03,92.24,NA,12,3,NA,37.72,-29.22,4.24,60.82,-14.91,22.95,0.11,51.26,230.83,595.06,1499.04,6.14203740558736,4.48040029903214,4.54732918629824,-4.60517018598809,NA,0.9075868953325,2.98971420122843,-0.06747406865916,5.52146091786225,6.69456218228346,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aotus nancymaae,805,-140.61918,2.62931126165516,1,1,1,0,1,0,0,683.548198366068,627.229743458721,199.718698343999,1.37343313603204,11.391667,37,NA,NA,NA,NA,0.6,127.74522130564,0.15340209064898,0.01980262729618,-0.116039619677797,4.27583582627974,6.12942815024094,6.67333589372355,7.44476196795775,6.72083442441452,0.083333333333333,13.1077123299695,NA,108.672743297838,4,NA,2,NA,-2.72,-6.47,-4.59,-66.61,-75.95,-71.28,0.05,228.04,261.24,1531.25,1533.13,NA,-2.93955708556789,-2.66337791410359,3.33790253128984,NA,1.66903180323797,0.122217632724249,0.45545175284774,4.0465834288717,4.70048127488291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Balaenoptera acutorostrata,804,-117.73942,2.00381238243505,1,0,0,1,0,0,1,2740,2740,167.34,1,48.5,786.4655,NA,NA,NA,NA,0.2,309.30635,0.042666666666668,0,0.252001696502433,12.6760762747759,14.4928948655192,15.8304135785065,10.9183079048142,14.5922946910239,0.55952380952381,18.7286114974889,NA,304.16,2,NA,3,NA,11.6593944956289,0.560050655742924,6.20141329532493,35.8462191348506,14.8058324570041,25.2303577317083,NA,148.434830155173,177.854436724966,894.442357184107,1307.2678672614,NA,2.44221110857526,-2.45859490763484,-1.03463298132377,0,1.63228106881657,1.62524102235727,0.6544669074748,8.93590221048408,6.1590955999084,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bos mutus,804,-128.36399,2.84359321885766,1,1,NA,NA,NA,NA,NA,494.972660875621,702.981098753097,90.1996170930266,1.06882275004379,11.2455786441589,38.2345074056162,NA,NA,NA,NA,NA,120.038185274421,0.407256506079253,0.526610412379531,-0.172862528203159,2.92496772339579,5.16699071965206,NA,5.24806788375133,6.01821246558614,0.047619047619048,13.0593990704501,NA,108.754438507933,NA,NA,NA,NA,13.6954380366112,-0.794175916708367,6.20141329532493,35.8462191348506,14.8058324570041,25.2303577317083,NA,149.293169828659,181.553030412158,875.991850253619,1326.44398825791,NA,-1.31983819609116,-2.78191592192218,5.08273775242875,NA,1.84710122325669,1.97751249160107,0.721809858636955,3.97557992121333,3.66356421022892,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bos taurus,804,-128.36399,2.84359321885767,1,1,1,0,0,0,1,548,365.25,182.64,1,20,310,NA,NA,306.77,311.15,0.1,277,0.016864346834293,0,0,9.25272913846797,NA,13.335282678753,NA,NA,NA,NA,NA,280.48,NA,NA,NA,NA,15.08,11.85,13.46,108.99,107.08,108.04,0.15,174.94,228.73,1193.98,1450.23,NA,2.30657711426358,NA,NA,NA,0.693147180559945,3.74903337693368,1.09861228866811,NA,22.1351727465773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bubalus bubalis,803,-127.15986,1.91237674008026,1,1,1,0,1,1,1,553.53384,NA,228.135,1,31.883333,282.476,NA,NA,NA,311.25,0.1,312.91623,0.062329971393186,0.318453731118535,0.222458852961783,10.5320962119585,NA,13.6258628301959,NA,NA,NA,NA,NA,320,NA,NA,1,NA,27.44,14.51,20.98,100,84.68,92.34,0.08,154.04,223.58,1028.93,1394.47,6.81617712649249,1.28923264827676,NA,0.058268908123976,NA,0.693147180559945,5.54008638198541,2.30258509299405,NA,8.41449581534101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callithrix jacchus,805,-134.08256,2.48966154335171,1,1,1,0,0,0,1,477,382,62,2,16.25,30,NA,NA,0.848,309.15,0.4,144,0.476087774294671,0.806475865866949,-0.798279566685737,3.30027146307219,4.57264699428253,5.54204755147063,5.50416313563014,5.76832099579377,0.083333333333333,13.7572136271558,NA,144,8.55,NA,2,NA,-2.78,-10.38,-6.58,-34.79,-45.78,-40.28,0.06,99.39,249.92,912.68,1488.61,NA,-3.91202300542815,-3.82294234275879,6.23083571552684,NA,0,4.11854925091892,0.693147180559945,4.41125570039338,8.12858522987302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Callorhinus ursinus,806,-138.61938,1.70744608035901,1,1,0,1,1,1,0,1461,2007,107,0.695,26,193.241,NA,NA,NA,NA,0.2,247.37466,0.065557702612212,0,-0.000684694349687,8.56252309005184,9.40178683654714,10.9235042248777,10.6184851234305,10.2750511089686,0.095238095238095,16.6424748507472,0,358.49,NA,NA,2,NA,11.5608970589117,0.82791922829642,6.20141329532493,35.8462191348506,14.8058324570041,25.2303577317083,NA,149.323704716128,182.011948498015,884.150681532474,1325.22181902295,4.78749174278205,1.40333951710212,-2.37896430334941,2.89037175789616,NA,1.70523840332115,1.85901246814543,0.373271637367247,7.00943670980786,6.29894943067946,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Camelus bactrianus,805,-115.58817,2.13522575702066,1,1,1,0,0,0,1,1278.156,1278,319.289,0.5,35.4,345,NA,NA,NA,NA,0.1,395.7475,0.037368421052631,0,0.692462486210258,10.4772879754635,NA,13.0710700830168,NA,NA,NA,NA,NA,397.99,6.2,NA,1,NA,44.71,37.98,41.34,97.58,90.75,94.17,0.01,9.94,53.72,66.85,612.43,NA,NA,NA,-2.81341071676004,NA,NA,0.60431596685333,NA,NA,9.65066024686233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
