"","Species","ClassActinopterygii","ClassAmphibia","ClassAves","ClassElasmobranchii","ClassHolocephali","ClassMammalia","ClassReptilia","ForStrat_terrestrial","ForStrat_aquatic","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","female_maturity_d","male_maturity_d","weaning_d","log_litterclutch_size_n","litters_or_clutches_per_y","log_inter_litterbirth_interval_y","log_birthhatching_weight_g","log_weaning_weight_g","log_adult_body_mass_g","infantMortalityRate_per_year","mortalityRateDoublingTime_y","metabolicRate_W","temperature_K","longevity_y","log_female_body_mass_g","log_male_body_mass_g","log_no_sex_body_mass","adult_svl_cm","diet_breadth","major_habitat_type_breadth","tnc_ecoregion_breadth","log_range_size","development_d","AA_83_Y","AA_30_negative","log_WOS_hits_synonyms","haddock_score_mean"
"1","Neovison vison",0,0,0,0,0,1,0,1,0,1,1,0,297.72262,371,49,1.56024766824333,1,-0.000684694349687224,2.15640258281596,4.70048036579242,6.80211694695914,NA,NA,2.722,312.15,10.69583333,7.01398524908304,7.44424864949671,6.49223983502047,43,0.4,9,27,16.494734848921,36.22062,1,1,7.55747290161475,-144.81476
"2","Acanthochromis polyacanthus",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,0.333333333333333,0.166666666666667,0.0948275862068965,18.2694552297157,NA,0,0,4.97673443207551,-120.65368
"3","Acinonyx jubatus",0,0,0,0,0,1,0,1,0,0,0,1,598.985,456,107,1.11185751541813,0.7,0.395145099532606,6.14274683130477,7.57044325205737,10.8312703964049,NA,NA,61.77,312.15,19,NA,NA,10.5570125393602,149.0215,0.1,0.5,0.30952380952381,15.4485083027574,178.12,1,1,6.69456218228346,-127.07811
"4","Alligator mississippiensis",0,0,0,0,0,0,1,NA,NA,NA,NA,NA,4605,4380,NA,3.68135118769314,1,NA,3.91202300542815,NA,11.0348896640272,NA,NA,0.1539,295.31,56,10.7747809184795,NA,10.7747809184795,NA,NA,0.375,0.154761904761905,13.9441097508128,65,1,0,7.30518828259734,-114.98521
"5","Alligator sinensis",0,0,0,0,0,0,1,NA,NA,NA,NA,NA,2191.44,NA,NA,3.00815479355255,1,NA,3.40119738166216,NA,9.58877680769643,NA,NA,NA,NA,60.7,9.28266103355581,NA,9.58877680769643,NA,NA,0.0625,0.0119047619047619,9.25832385881903,70,1,0,4.75359105317496,-114.48673
"6","Amblyraja radiata",0,0,0,1,0,0,0,0,1,NA,NA,NA,4015,1460,NA,3.43398720448515,NA,5.89989735358249,NA,NA,6.84933135884442,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.416666666666667,0.120689655172414,17.9586382089394,NA,0,0,4.64439186067937,-127.13681
"7","Amphiprion ocellaris",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833333333333333,0.333333333333333,0.112068965517241,18.2694552297157,NA,0,0,4.92725440979462,-120.615436
"8","Anabas testudineus",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,8.25,0.833333333333333,0.3125,0.428571428571429,17.4887385843817,NA,0,0,5.9814144637797,-148.27299
"9","Anarrhichthys ocellatus",1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0.25,0.0387931034482759,18.277171336601,NA,0,0,1.94592443466756,-135.73343
"10","Anas platyrhynchos",0,0,1,0,0,0,0,1,1,0,0,1,365,365,NA,2.35280280915466,1,NA,3.42426265459315,NA,7.02197642307216,NA,NA,4.068,NA,29,7.00261080999482,7.09547888506509,7.01391547481053,57.5,0.5,0.75,0.464285714285714,16.4180697834653,26.5,0,0,7.98718478221241,-109.522796
"11","Anolis carolinensis",0,0,0,0,0,0,1,1,0,0,0,1,258.74,258.74,NA,0.262364264467491,6,NA,-1.51412773262978,NA,0.898126761246484,NA,NA,NA,NA,7,0.832909122935104,NA,0.959350221334602,4.9715,0.1,0.5,0.19047619047619,13.9827335458841,87,0,0,7.15539637996074,-119.235404
"12","Antrostomus carolinensis",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.693147180559945,1,0,NA,NA,4.74493212836325,NA,NA,NA,NA,14.83,4.68166815696082,4.70002571700077,4.74493212836325,NA,NA,0.3125,0.0476190476190476,11.7616303426972,20,0,1,1.6094579122341,-111.097844
"13","Aotus nancymaae",0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,0.0198026272961797,NA,NA,NA,NA,6.67333589372355,NA,NA,NA,NA,11.391667,NA,NA,NA,37,0.6,0.0625,0.0833333333333333,13.1077123299695,NA,1,1,4.70048127488291,-140.61918
"14","Aptenodytes forsteri",0,0,1,0,0,0,0,0,1,0,0,1,1825,2007,NA,0,1,0,NA,NA,10.3005844109738,NA,NA,NA,NA,20,10.2921455423279,10.5505907945947,10.2219412836547,115,0.2,NA,NA,NA,63.5,0,1,5.42053544175006,-116.162199
"15","Apteryx rowi",0,0,1,0,0,0,0,NA,NA,NA,NA,NA,1461,547.92,NA,0,1.25,NA,5.78382518232974,NA,7.86326672400957,NA,NA,NA,NA,35,7.91022370709734,7.70751219460034,7.8626896344485,NA,NA,0.0625,0.0119047619047619,5.4781160274636,79,0,0,1.6094579122341,-124.82624
"16","Archocentrus centrarchus",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0.0595238095238095,16.9822825514204,NA,1,1,1.6094579122341,-140.53076
"17","Astatotilapia calliptera",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,0.4375,0.142857142857143,17.2071673639548,NA,1,1,2.48491498308661,-167.815499
"18","Astyanax mexicanus",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.5625,0.297619047619048,16.9822825514204,NA,0,0,5.77455185610337,-143.16457
"19","Athene cunicularia",0,0,1,0,0,0,0,1,0,1,0,0,365,365,NA,2.07944154167984,1.25,NA,2.18605127673809,NA,5.01462731536579,NA,NA,NA,NA,8.7,5.04985600724954,4.98565930802608,5.01063529409626,23,0.3,0.8125,0.464285714285714,16.2131406987404,28,0,1,5.87493101175087,-125.41848
"20","Austrofundulus limnaeus",1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0.0357142857142857,16.6856998472277,NA,1,1,4.49981078144076,-144.39074
"21","Aythya fuligula",0,0,1,0,0,0,0,0,1,0,0,1,365,365,NA,2.26176309847379,1,NA,3.52929738428947,NA,6.55322089954252,NA,NA,NA,NA,22,6.52576252705911,6.58340922215876,6.53777796380353,43.5,0.4,0.4375,0.19047619047619,14.1939285069306,24.5,0,0,5.44241814342213,-110.391508
